Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,percentLengthPedByIsolate,percentMassPedByIsolate
3,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,1,1,0,0,0,0,100,0,0,1,1
68,,Il14H,14,GH2,control,MockInoc,Standard,na,BMDI,4,2,0,0,0,0,100,0,0,1,1
1,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,1,1,1,0,1,0,50,158.94,0.0315,2.547686989,2.701957941
10,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,2,1,0,0,0,0,100,0,0,2.4427372,2.486584482
9,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,2,1,0,0,0,0,100,0,0,2.251037972,1.821187077
76,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,10,4,1,1,1,0,30,103.65,0.0457,2.223453877,3.733139956
18,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,3,1,0,0,0,0,100,0,0,2.06637521,1.956423742
80,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,10,4,1,1,1,0,20,144.52,0.0801,2.054716929,1.051840721
21,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,3,1,1,1,1,0,5,165.8,0.0853,2.047138232,2.783538796
25,,Oh7B,12,GH3,control,MockInoc,Standard,na,BMDI,4,2,0,0,0,0,100,0,0,1.962437579,1.027918782
88,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,4,1,1,1,0,25,132.26,0.0573,1.946602876,1.66190834
85,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,4,1,0,1,0,75,47,0.0326,1.887614553,2.874909355
30,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,4,2,0,0,0,0,100,0,0,1.855976244,2.163786627
37,,NC344,12,GH3,control,MockInoc,Standard,na,BMDI,5,2,0,0,0,0,100,0,0,1.826610575,2.058602554
11,,CML333,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,3,2,1,1,0,0,0,198.8,0.1136,1.769283335,1.27692926
30,,CML333,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,7,4,1,1,0,0,0,187.83,0.1069,1.698129324,1.36977492
91,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,12,4,1,1,1,0,10,176.99,0.0553,1.668343919,0.910593539
55,,Il14H,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,1,1,1,0,10,150.79,0.0832,1.641205094,2.000400481
18,,CML103,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,3,2,1,1,0,0,5,177.34,0.1334,1.616197825,1.334889927
67,,CML103,14,GH2,control,MockInoc,Standard,na,BMDI,4,2,0,0,0,0,100,0,0,1.608633574,1.476984656
52,,CML333,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,6,1,1,0,0,0,207.13,0.1059,1.604424703,1.288987138
98,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,13,5,1,1,1,0,40,151.69,0.0303,1.589485551,2.407212622
29,,CML103,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,7,4,1,1,0,0,0,154.51,0.2232,1.547663892,1.796197465
71,,CML333,14,GH2,control,MockInoc,Standard,na,BMDI,4,2,1,1,0,0,0,178.8,0.1308,1.527291364,1.577170418
75,,CML333,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,10,4,1,1,1,0,60,125.56,0.0315,1.481910175,0.788860684
82,,CML333,14,GH2,control,MockInoc,Standard,na,BMDI,8,4,0,0,0,0,100,0,0,1.472708636,1.422829582
106,,NC344,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,14,5,0,0,0,0,100,0,0,1.45464544,1.722013524
48,,CML103,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,6,1,1,0,0,0,169.82,0.1795,1.408135367,2.233488993
78,,CML103,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,10,4,1,1,1,0,0,184.38,0.1386,1.404181635,1.055962166
84,,CML103,14,GH2,control,MockInoc,Standard,na,BMDI,8,4,1,1,0,0,0,176.51,0.1476,1.391366426,1.523015344
2,,CML103,12,GH3,control,MockInoc,Standard,na,BMDI,1,1,0,0,0,0,100,0,0,1.391176589,1.230266862
16,,CML103,12,GH3,control,MockInoc,Standard,na,BMDI,2,1,1,1,1,0,0,175.8,0.1148,1.370542886,1.255601847
5,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,1,1,0,0,0,0,100,0,0,1.360133075,2.030610721
79,,Il14H,14,GH1,control,MockInoc,Standard,na,BMDI,9,5,1,1,1,0,0,182.13,0.1665,1.358794906,0.999599519
86,,CML103,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,4,1,1,1,0,5,150.98,0.0564,1.339592331,1.404571557
