Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,soilType,averageTemp,averageHumidity,seedNum,block,germinated,escape,lesionPercent,rootLength,rootMass,averageInocLength,averageInocMass,averageDiseasePerSpeciesPerLine,averageLengthPedigreeByIsolate,averageMassPedigreeByIsolate,diseasePercentStd,percentLengthPedByIsolate,percentMassPedByIsolate,notes
24,,B73,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,1,1,1,0,0,198.56,0.0561,169.8512,0.044776,12.5,186.6116667,0.043116667,0,1.223740165,1.501338091,
135,,B73,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,4,1,1,0,50,186.22,0.0472,169.8512,0.044776,12.5,186.6116667,0.043116667,3.333333333,1.14768782,1.263157895,
59,,B73,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,2,2,1,0,15,179.02,0.0444,169.8512,0.044776,12.5,186.6116667,0.043116667,1,1.10331368,1.188224799,
93,,B73,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,3,3,1,0,5,179.39,0.0438,169.8512,0.044776,12.5,186.6116667,0.043116667,0.333333333,1.105594018,1.172167707,
169,,B73,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,5,2,1,0,5,193.99,0.0342,169.8512,0.044776,12.5,186.6116667,0.043116667,0.333333333,1.195574912,0.915254237,
203,,B73,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,6,3,1,0,0,182.49,0.033,169.8512,0.044776,12.5,186.6116667,0.043116667,0,1.12469955,0.883140054,
136,,B73,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,10,1,1,0,70,36.73,0.0043,80.57826923,0.016879245,95,6.121666667,0.000716667,4.666666667,0.226369743,0.115075825,
34,,B73,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,7,1,0,0,100,0,0,80.57826923,0.016879245,95,6.121666667,0.000716667,6.666666667,0,0,
67,,B73,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,8,2,0,0,100,0,0,80.57826923,0.016879245,95,6.121666667,0.000716667,6.666666667,0,0,
108,,B73,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,9,3,0,0,100,0,0,80.57826923,0.016879245,95,6.121666667,0.000716667,6.666666667,0,0,
177,,B73,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,11,2,0,0,100,0,0,80.57826923,0.016879245,95,6.121666667,0.000716667,6.666666667,0,0,
208,,B73,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,12,3,0,0,100,0,0,80.57826923,0.016879245,95,6.121666667,0.000716667,6.666666667,0,0,
84,,B73,20,rep3,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,3,1,0,5,178.54,0.0599,114.0084314,0.026998039,63.33333333,87.79166667,0.022566667,0.333333333,1.100355404,1.603033006,
48,,B73,20,rep3,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,2,1,0,30,170.68,0.0351,114.0084314,0.026998039,63.33333333,87.79166667,0.022566667,2,1.051913635,0.939339875,
125,,B73,20,rep3,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,1,1,0,75,109.08,0.0324,114.0084314,0.026998039,63.33333333,87.79166667,0.022566667,5,0.672268217,0.867082962,
12,,B73,20,rep3,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,1,1,0,70,68.45,0.008,114.0084314,0.026998039,63.33333333,87.79166667,0.022566667,4.666666667,0.421862481,0.214094558,
156,,B73,20,rep3,G.uu,sandcornmeal,G.uu,na,BM2,65,50,17,2,0,0,100,0,0,114.0084314,0.026998039,63.33333333,87.79166667,0.022566667,6.666666667,0,0,
198,,B73,20,rep3,G.uu,sandcornmeal,G.uu,na,BM2,65,50,18,3,0,0,100,0,0,114.0084314,0.026998039,63.33333333,87.79166667,0.022566667,6.666666667,0,0,
151,,B73,20,rep3,Standard,control,Standard,na,BM2,65,50,23,2,1,0,0,153.49,0.0514,164.6039216,0.039113725,15,162.2566667,0.037366667,0,0.945970376,1.375557538,
110,,B73,20,rep3,Standard,control,Standard,na,BM2,65,50,22,1,1,0,15,165.77,0.0419,164.6039216,0.039113725,15,162.2566667,0.037366667,1,1.021652937,1.12132025,
4,,B73,20,rep3,Standard,control,Standard,na,BM2,65,50,19,1,1,0,50,184.18,0.0352,164.6039216,0.039113725,15,162.2566667,0.037366667,3.333333333,1.135115147,0.942016057,
42,,B73,20,rep3,Standard,control,Standard,na,BM2,65,50,20,2,1,0,5,162.34,0.0335,164.6039216,0.039113725,15,162.2566667,0.037366667,0.333333333,1.00051359,0.896520963,
75,,B73,20,rep3,Standard,control,Standard,na,BM2,65,50,21,3,1,0,10,181.16,0.0311,164.6039216,0.039113725,15,162.2566667,0.037366667,0.666666667,1.11650266,0.832292596,
183,,B73,20,rep3,Standard,control,Standard,na,BM2,65,50,24,3,1,0,10,126.6,0.0311,164.6039216,0.039113725,15,162.2566667,0.037366667,0.666666667,0.78024529,0.832292596,
55,,CML103,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,2,2,1,0,5,180.96,0.0704,169.8512,0.044776,26.66666667,151.2866667,0.042483333,3,0.91905298,1.096857959,
165,,CML103,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,5,2,1,0,10,187,0.0584,169.8512,0.044776,26.66666667,151.2866667,0.042483333,6,0.949728709,0.909893534,
21,,CML103,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,1,1,1,0,5,191.26,0.051,169.8512,0.044776,26.66666667,151.2866667,0.042483333,3,0.97136424,0.794598806,
200,,CML103,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,6,3,1,0,50,152.69,0.0343,169.8512,0.044776,26.66666667,151.2866667,0.042483333,30,0.775476346,0.534406648,
95,,CML103,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,3,3,1,0,70,45.39,0.0237,169.8512,0.044776,26.66666667,151.2866667,0.042483333,42,0.230525059,0.369254739,
127,,CML103,20,rep3,G.a,sandcornmeal,G.a,na,BM2,65,50,4,1,1,0,20,150.42,0.0171,169.8512,0.044776,26.66666667,151.2866667,0.042483333,12,0.763947553,0.266424305,
65,,CML103,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,8,2,1,0,0,233.15,0.0691,80.57826923,0.016879245,28.33333333,146.79,0.03805,0,1.184113629,1.07660348,
141,,CML103,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,10,1,1,0,20,177.85,0.054,80.57826923,0.016879245,28.33333333,146.79,0.03805,12,0.903258027,0.841339912,
107,,CML103,20,rep3,G.i,sandcornmeal,G.i,na,BM2,65,50,9,3,1,0,5,199.13,0.0525,80.57826923,0.016879245,28.33333333,146.79,0.03805,3,1.011334106,0.817969359,
