Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,soilType,averageTemp,averageHumidity,seedNum,block,germinated,escape,lesionPercent,rootLength,rootMass,averageInocLength,averageInocMass,averageLengthPedigreeByIsolate,averageMassPedigreeByIsolate,percentLengthPedByIsolate,percentMassPedByIsolate,notes,averageDiseasePerSpeciesPerLine,diseasePercentStd
1,,Ms71,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,0,197.13,0.0639,131.8016667,0.048444444,204.0783333,0.0697,0.965952616,0.916786227,,6.666666667,0
2,,Oh7B,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,0,201.38,0.0589,131.8016667,0.048444444,161.9516667,0.054716667,1.24345741,1.076454462,,17.5,0
3,,NC344,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,0,192.81,0.0951,131.8016667,0.048444444,202.3083333,0.097233333,0.953050212,0.97805965,,0,0
4,,NC304,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,0,190.5,0.0511,131.8016667,0.048444444,195.205,0.06205,0.975897134,0.823529412,,1.666666667,0
5,,CML277,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,5,172.06,0.0253,131.8016667,0.048444444,189.5966667,0.042083333,0.907505406,0.601188119,,10,0.5
6,,CML103,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,10,180.82,0.1131,131.8016667,0.048444444,148.1516667,0.065566667,1.220506013,1.724961871,,21.66666667,0.461538462
7,,B73,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,5,187.25,0.0512,131.8016667,0.048444444,199.5766667,0.129816667,0.938235933,0.394402362,,1.666666667,3
8,,H100,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,5,199.93,0.0363,131.8016667,0.048444444,211.2216667,0.060133333,0.946541153,0.603658537,,10.83333333,0.461538462
9,,CML333,21,rep4,Standard,control,Standard,na,BM2,65,50,19,2,1,0,0,221.03,0.0629,131.8016667,0.048444444,224.9516667,0.068316667,0.982566625,0.920712369,,1.666666667,0
10,,Oh7B,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,90,4.31,0,99.14528302,0.037598113,26.18333333,0.005466667,0.026612878,0,,85,5.142857143
11,,CML103,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,80,37.52,0.0108,99.14528302,0.037598113,14.36,0.0025,0.253253985,0.164717844,,91,3.692307692
12,,B73,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,85,33.85,0.0087,99.14528302,0.037598113,19.48,0.007933333,0.169609006,0.067017589,,89.16666667,51
13,,CML277,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,0,0,100,0,0,99.14528302,0.037598113,22.625,0.0096,0,0,,85.83333333,10
14,,Ms71,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,85,20.53,0.014,99.14528302,0.037598113,26.415,0.020166667,0.100598626,0.200860832,,89.16666667,12.75
15,,NC344,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,50,139.49,0.0533,99.14528302,0.037598113,79.13833333,0.044883333,0.689492112,0.548165924,,58.33333333,50
16,,NC304,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,90,37.14,0.0064,99.14528302,0.037598113,19.83833333,0.005183333,0.19026152,0.103142627,,90,54
17,,H100,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,85,52.95,0.0087,99.14528302,0.037598113,10.00333333,0.00145,0.25068451,0.144678492,,95.83333333,7.846153846
18,,CML333,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,13,2,1,0,80,11.23,0.016,99.14528302,0.037598113,16.23333333,0.008966667,0.049921835,0.234203464,,89.16666667,48
19,,Ms71,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,0,0,100,0,0,104.9431481,0.045681481,153.7033333,0.065133333,0,0,,35,15
20,,NC344,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,1,0,5,220.33,0.079,104.9431481,0.045681481,193.0283333,0.083083333,1.089080199,0.812478574,,2.5,5
21,,CML103,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,0,0,100,0,0,104.9431481,0.045681481,121.1333333,0.044666667,0,0,,37.5,4.615384615
22,,CML333,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,1,0,0,204.8,0.0757,104.9431481,0.045681481,223.3716667,0.078133333,0.910417793,1.10807514,,0,0
23,,H100,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,1,0,0,216.72,0.081,104.9431481,0.045681481,185.3416667,0.0621,1.026031105,1.347006652,,21.66666667,0
24,,CML277,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,0,0,100,0,0,104.9431481,0.045681481,132.2283333,0.0409,0,0,,40.83333333,10
25,,B73,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,1,0,65,96.86,0.0128,104.9431481,0.045681481,190.5133333,0.078566667,0.485327276,0.098600591,,12.5,39
26,,NC304,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,1,0,0,219.6,0.0974,104.9431481,0.045681481,210.8033333,0.0936,1.124971184,1.569701853,,13.33333333,0
27,,Oh7B,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,1,2,1,0,15,204.06,0.0202,104.9431481,0.045681481,168.5833333,0.0533,1.260005557,0.369174535,,20,0.857142857
28,,NC344,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,1,0,25,149.93,0.0464,125.6074074,0.036153704,46.38666667,0.0125,0.741096511,0.477202605,,82.5,25
29,,H100,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,1,0,60,119.79,0.0132,125.6074074,0.036153704,101.9166667,0.027716667,0.567129319,0.219512195,,45,5.538461538
30,,CML103,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,0,0,100,0,0,125.6074074,0.036153704,84.445,0.025616667,0,0,,57.5,4.615384615
31,,NC304,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,0,0,100,0,0,125.6074074,0.036153704,28.095,0.011466667,0,0,,85,60
32,,Oh7B,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,1,0,50,178.51,0.0163,125.6074074,0.036153704,113.43,0.022766667,1.102242439,0.297898264,,49.16666667,2.857142857
33,,B73,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,1,0,0,212.91,0.0945,125.6074074,0.036153704,35.485,0.01575,1.066808077,0.727949673,,83.33333333,0
34,,CML277,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,0,0,100,0,0,125.6074074,0.036153704,40.55333333,0.005483333,0,0,,91.66666667,10
35,,Ms71,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,0,0,100,0,0,125.6074074,0.036153704,11.625,0.005283333,0,0,,96.66666667,15
36,,CML333,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,7,2,1,0,30,166.35,0.034,125.6074074,0.036153704,125.8766667,0.022983333,0.739492187,0.497682362,,49.16666667,18
37,,CML277,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,15,187.19,0.0333,131.8016667,0.048444444,189.5966667,0.042083333,0.987306387,0.791287129,,10,1.5
38,,CML333,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,0,227.22,0.0398,131.8016667,0.048444444,224.9516667,0.068316667,1.010083648,0.582581117,,1.666666667,0
39,,B73,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,0,209.15,0.0678,131.8016667,0.048444444,199.5766667,0.129816667,1.047968199,0.522275003,,1.666666667,0
40,,NC344,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,0,208.51,0.1125,131.8016667,0.048444444,202.3083333,0.097233333,1.030654529,1.157010627,,0,0
41,,Oh7B,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,0,216.8,0.066,131.8016667,0.048444444,161.9516667,0.054716667,1.338671003,1.206213829,,17.5,0
42,,Ms71,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,0,209.23,0.1069,131.8016667,0.048444444,204.0783333,0.0697,1.025243575,1.533715925,,6.666666667,0
43,,H100,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,55,210.68,0.0237,131.8016667,0.048444444,211.2216667,0.060133333,0.997435553,0.394124169,,10.83333333,5.076923077
44,,CML103,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,5,180.11,0.0681,131.8016667,0.048444444,148.1516667,0.065566667,1.215713627,1.038637519,,21.66666667,0.230769231
45,,NC304,21,rep4,Standard,control,Standard,na,BM2,65,50,20,3,1,0,5,219.5,0.0817,131.8016667,0.048444444,195.205,0.06205,1.124458902,1.316680097,,1.666666667,3
46,,NC344,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,1,0,45,65.66,0.0387,99.14528302,0.037598113,79.13833333,0.044883333,0.324554105,0.398011656,,58.33333333,45
47,,Ms71,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,1,0,90,21.46,0.0134,99.14528302,0.037598113,26.415,0.020166667,0.1051557,0.192252511,,89.16666667,13.5
48,,Oh7B,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,0,0,100,0,0,99.14528302,0.037598113,26.18333333,0.005466667,0,0,,85,5.714285714
49,,CML333,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,1,0,90,14.13,0.0075,99.14528302,0.037598113,16.23333333,0.008966667,0.062813493,0.109782874,,89.16666667,54
50,,CML277,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,1,0,70,38.31,0.0198,99.14528302,0.037598113,22.625,0.0096,0.202060514,0.47049505,,85.83333333,7
51,,H100,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,1,0,95,4.15,0,99.14528302,0.037598113,10.00333333,0.00145,0.019647606,0,,95.83333333,8.769230769
52,,CML103,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,0,0,100,0,0,99.14528302,0.037598113,14.36,0.0025,0,0,,91.66666667,4.615384615
53,,NC304,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,1,0,95,7.58,0.0022,99.14528302,0.037598113,19.83833333,0.005183333,0.038830973,0.035455278,,90,57
54,,B73,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,14,3,0,0,100,0,0,99.14528302,0.037598113,19.48,0.007933333,0,0,,89.16666667,60
55,,CML277,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,15,176.25,0.0523,104.9431481,0.045681481,132.2283333,0.0409,0.929604951,1.242772277,,40.83333333,1.5
56,,CML103,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,0,191.8,0.1092,104.9431481,0.045681481,121.1333333,0.044666667,1.294619253,1.665480427,,37.5,0
57,,Oh7B,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,0,200.81,0.0978,104.9431481,0.045681481,168.5833333,0.0533,1.239937842,1.787389583,,20,0
58,,CML333,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,0,236.39,0.1003,104.9431481,0.045681481,223.3716667,0.078133333,1.05084796,1.468162967,,0,0
59,,B73,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,0,203.75,0.105,104.9431481,0.045681481,190.5133333,0.078566667,1.020910928,0.80883297,,12.5,0
60,,NC344,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,0,185.39,0.0793,104.9431481,0.045681481,193.0283333,0.083083333,0.916373522,0.815563936,,2.5,0
61,,Ms71,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,0,0,100,0,0,104.9431481,0.045681481,153.7033333,0.065133333,0,0,,35,15
62,,H100,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,0,218.41,0.1308,104.9431481,0.045681481,185.3416667,0.0621,1.034032178,2.175166297,,21.66666667,0
63,,NC304,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,2,3,1,0,0,232.62,0.1029,104.9431481,0.045681481,210.8033333,0.0936,1.191670295,1.658340048,,13.33333333,0
64,,B73,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,0,0,100,0,0,125.6074074,0.036153704,35.485,0.01575,0,0,,83.33333333,60
65,,Ms71,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,0,0,100,0,0,125.6074074,0.036153704,11.625,0.005283333,0,0,,96.66666667,15
66,,CML277,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,1,0,65,134.85,0.0104,125.6074074,0.036153704,40.55333333,0.005483333,0.711246682,0.247128713,,91.66666667,6.5
67,,NC344,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,0,0,100,0,0,125.6074074,0.036153704,46.38666667,0.0125,0,0,,82.5,100
68,,NC304,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,0,0,100,0,0,125.6074074,0.036153704,28.095,0.011466667,0,0,,85,60
69,,CML333,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,1,0,40,146.23,0.0209,125.6074074,0.036153704,125.8766667,0.022983333,0.650050752,0.305928275,,49.16666667,24
70,,H100,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,1,0,0,172.49,0.0484,125.6074074,0.036153704,101.9166667,0.027716667,0.816630238,0.804878049,,45,0
71,,CML103,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,1,0,40,129.61,0.0371,125.6074074,0.036153704,84.445,0.025616667,0.874846722,0.565836299,,57.5,1.846153846
72,,Oh7B,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,8,3,1,0,50,147.86,0.0294,125.6074074,0.036153704,113.43,0.022766667,0.912988443,0.537313433,,49.16666667,2.857142857
73,,H100,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,0,206.08,0.0849,131.8016667,0.048444444,211.2216667,0.060133333,0.975657485,1.411862528,,10.83333333,0
74,,CML333,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,5,202.08,0.0457,131.8016667,0.048444444,224.9516667,0.068316667,0.898326307,0.668943645,,1.666666667,3
75,,NC344,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,0,182.84,0.0759,131.8016667,0.048444444,202.3083333,0.097233333,0.903768999,0.780596503,,0,0
76,,B73,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,0,206.52,0.086,131.8016667,0.048444444,199.5766667,0.129816667,1.034790306,0.662472718,,1.666666667,0
77,,NC304,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,0,101.2,0.0663,131.8016667,0.048444444,195.205,0.06205,0.518429344,1.068493151,,1.666666667,0
78,,CML277,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,5,212.1,0.0352,131.8016667,0.048444444,189.5966667,0.042083333,1.118690554,0.836435644,,10,0.5
79,,CML103,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,0,0,100,0,0,131.8016667,0.048444444,148.1516667,0.065566667,0,0,,21.66666667,4.615384615
80,,Oh7B,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,5,202.68,0.0728,131.8016667,0.048444444,161.9516667,0.054716667,1.251484496,1.330490405,,17.5,0.285714286
81,,Ms71,21,rep4,Standard,control,Standard,na,BM2,65,50,21,1,1,0,5,213.55,0.1011,131.8016667,0.048444444,204.0783333,0.0697,1.046411917,1.450502152,,6.666666667,0.75
82,,Oh7B,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,60,57.28,0.011,99.14528302,0.037598113,26.18333333,0.005466667,0.35368577,0.201035638,,85,3.428571429
83,,Ms71,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,80,51.81,0.0266,99.14528302,0.037598113,26.415,0.020166667,0.253873104,0.381635581,,89.16666667,12
84,,B73,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,0,0,100,0,0,99.14528302,0.037598113,19.48,0.007933333,0,0,,89.16666667,60
85,,CML103,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,90,23.79,0.0017,99.14528302,0.037598113,14.36,0.0025,0.160578686,0.025927809,,91.66666667,4.153846154
86,,NC344,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,50,90.96,0.0374,99.14528302,0.037598113,79.13833333,0.044883333,0.449610743,0.384641755,,58.33333333,50
87,,H100,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,95,2.92,0,99.14528302,0.037598113,10.00333333,0.00145,0.013824339,0,,95.83333333,8.769230769
88,,NC304,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,80,35.95,0.0039,99.14528302,0.037598113,19.83833333,0.005183333,0.184165365,0.062852538,,90,48
89,,CML333,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,90,22.35,0.0088,99.14528302,0.037598113,16.23333333,0.008966667,0.099354676,0.128811905,,89.16666667,54
90,,CML277,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,15,1,1,0,65,65.34,0.0281,99.14528302,0.037598113,22.625,0.0096,0.344626312,0.667722772,,85.83333333,6.5
91,,H100,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,5,215.84,0.0603,104.9431481,0.045681481,185.3416667,0.0621,1.021864866,1.002771619,,21.66666667,0.461538462
92,,NC344,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,5,186.1,0.0819,104.9431481,0.045681481,193.0283333,0.083083333,0.919883017,0.842303737,,2.5,5
93,,CML103,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,5,200.54,0.07,104.9431481,0.045681481,121.1333333,0.044666667,1.353612852,1.067615658,,37.5,0.230769231
94,,Oh7B,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,50,113.48,0.0203,104.9431481,0.045681481,168.5833333,0.0533,0.700702885,0.371002132,,20,2.857142857
95,,Ms71,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,5,238.98,0.1022,104.9431481,0.045681481,153.7033333,0.065133333,1.171020932,1.466284075,,35,0.75
96,,B73,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,5,222.32,0.1319,104.9431481,0.045681481,190.5133333,0.078566667,1.113957878,1.016048273,,12.5,3
97,,NC304,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,0,203.83,0.087,104.9431481,0.045681481,210.8033333,0.0936,1.044184319,1.402095085,,13.33333333,0
98,,CML333,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,0,249.19,0.0645,104.9431481,0.045681481,223.3716667,0.078133333,1.107749072,0.944132715,,0,0
99,,CML277,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,20,125.6,0.0697,104.9431481,0.045681481,132.2283333,0.0409,0.662458904,1.656237624,,40.83333333,2
100,,Oh7B,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,80,24.21,0.0084,125.6074074,0.036153704,113.43,0.022766667,0.149489045,0.153518124,,49.16666667,4.571428571
101,,CML277,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,40.55333333,0.005483333,0,0,,91.66666667,10
102,,CML333,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,50,153.83,0.0193,125.6074074,0.036153704,125.8766667,0.022983333,0.683835787,0.282507929,,49.16666667,30
103,,NC344,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,46.38666667,0.0125,0,0,,82.5,100
104,,H100,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,10,165.38,0.062,125.6074074,0.036153704,101.9166667,0.027716667,0.782968919,1.031042129,,45,0.923076923
105,,NC304,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,10,168.57,0.0688,125.6074074,0.036153704,28.095,0.011466667,0.8635537,1.108783239,,85,6
106,,B73,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,35.485,0.01575,0,0,,83.33333333,60
