Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,soilType,averageTemp,averageHum,seedNum,block,germinated,escape,lesionPercent,rootLength,rootMass,averageInocLength,averageInocMass,averageLengthPedigreeByIsolate,averageMassPedigreeByIsolate,percentLengthPedByIsolate,percentMassPedByIsolate,notes,averageDiseasePerSpeciesPerLine,diseasePercentStd
172,,CML277,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,32,4,1,0,5,187.8,0.092,116.8521127,0.057615493,45.57125,0.0181,4.121019283,5.082872928,,76.875,0.06504065
153,,CML277,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,29,3,1,0,10,176.77,0.0528,116.8521127,0.057615493,45.57125,0.0181,3.878980717,2.917127072,,76.875,0.130081301
174,,Ms71,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,32,4,1,0,0,195.1,0.146,116.8521127,0.057615493,127.9725,0.0509625,1.524546289,2.864851607,,49.375,0
158,,CML333,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,30,3,1,0,0,243.96,0.0685,116.8521127,0.057615493,168.02375,0.0765375,1.451937598,0.894986118,,18.75,0
9,,Oh7B,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,25,1,1,0,0,194.21,0.076,116.8521127,0.057615493,140.7125,0.0382625,1.380190104,1.986278994,,41.875,0
157,,Oh7B,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,30,3,1,0,30,192.94,0.0319,116.8521127,0.057615493,140.7125,0.0382625,1.371164609,0.833714472,,41.875,0.71641791
164,,Oh7B,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,31,4,1,0,10,192.43,0.0781,116.8521127,0.057615493,140.7125,0.0382625,1.367540197,2.041163019,,41.875,0.23880597
165,,Ms71,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,31,4,1,0,0,174.22,0.137,116.8521127,0.057615493,127.9725,0.0509625,1.361386235,2.688251165,,49.375,0
175,,CML103,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,32,4,1,0,5,198.54,0.127,116.8521127,0.057615493,152.8325,0.0904125,1.299069242,1.404673026,,29.375,0.170212766
168,,NC344,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,31,4,1,0,5,206.88,0.16,116.8521127,0.057615493,164.49875,0.10075,1.257638736,1.58808933,,9.375,0.533333333
147,,H100,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,29,3,1,0,25,194.01,0.048,116.8521127,0.057615493,155.34,0.091428571,1.248937814,0.525,,15,1.666666667
20,,B73,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,27,2,1,0,0,204.53,0.0851,116.8521127,0.057615493,164.57375,0.0896875,1.242786289,0.948850174,,5.625,0
179,,NC304,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,32,4,1,0,0,176.18,0.153,116.8521127,0.057615493,143.73,0.0812625,1.225770542,1.882787263,,12.5,0
167,,CML333,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,31,4,1,0,0,205.42,0.127,116.8521127,0.057615493,168.02375,0.0765375,1.222565262,1.659317328,,18.75,0
170,,NC304,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,31,4,1,0,0,174.91,0.127,116.8521127,0.057615493,143.73,0.0812625,1.21693453,1.562836487,,12.5,0
160,,Ms71,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,30,3,1,1,50,153.84,0.038,116.8521127,0.057615493,127.9725,0.0509625,1.202133271,0.745646309,,49.375,1.012658228
7,,Ms71,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,25,1,1,1,50,153.83,0.0336,116.8521127,0.057615493,127.9725,0.0509625,1.202055129,0.659308315,,49.375,1.012658228
178,,H100,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,32,4,1,0,0,186.58,0.145,116.8521127,0.057615493,155.34,0.091428571,1.201107249,1.5859375,,15,0
155,,CML103,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,30,3,1,0,5,183.04,0.1202,116.8521127,0.057615493,152.8325,0.0904125,1.197651023,1.329462187,,29.375,0.170212766
166,,CML103,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,31,4,1,0,0,182.62,0.146,116.8521127,0.057615493,152.8325,0.0904125,1.194902917,1.614820959,,29.375,0
154,,NC344,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,30,3,1,0,0,192.71,0.1114,116.8521127,0.057615493,164.49875,0.10075,1.171498264,1.105707196,,9.375,0
169,,H100,14,rep2,Standard,MockInoc,control,na,BM2,78.1,62.7,31,4,1,0,0,179.69,0.139,116.8521127,0.057615493,155.34,0.091428571,1.156752929,1.5203125,,15,0
