Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,soilType,seedNum,block,germinated,escape,lesionPercent,rootLength,rootMass,averageInocLength,averageInocMass,averageLengthPedigreeByIsolate,averageMassPedigreeByIsolate,percentLengthPedByIsolate,percentMassPedByIsolate,notes,averageDiseasePerSpeciesPerLine,diseasePercentStd
37,,B73,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,5,3,1,0,85,137.32,0.0223,126.6930556,0.078227778,34.33,0.005575,0.697914946,0.19408181,,96.25,2567%
46,,B73,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,6,3,0,0,100,0,0,126.6930556,0.078227778,34.33,0.005575,0,0,dead,96.25,2567%
111,,B73,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,13,7,0,0,100,0,0,126.6930556,0.078227778,34.33,0.005575,0,0,dead,96.25,2567%
123,,B73,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,14,7,0,0,100,0,0,126.6930556,0.078227778,34.33,0.005575,0,0,dead,96.25,2567%
20,,B73,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,3,2,1,0,5,225.55,0.0802,132.8997222,0.059366667,168.3975,0.07165,1.146334955,0.697998259,,28.75,767%
32,,B73,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,4,2,0,0,100,0,0,132.8997222,0.059366667,168.3975,0.07165,0,0,dead,28.75,767%
93,,B73,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,11,6,1,0,5,205.9,0.1136,132.8997222,0.059366667,168.3975,0.07165,1.046465827,0.988685814,,28.75,767%
106,,B73,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,12,6,1,0,5,242.14,0.0928,132.8997222,0.059366667,168.3975,0.07165,1.230651945,0.807658834,,28.75,767%
1,,B73,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,1,1,0,0,100,0,0,112.5464706,0.05155,93.5725,0.051725,0,0,dead,53.75,1433%
12,,B73,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,2,1,0,0,100,0,0,112.5464706,0.05155,93.5725,0.051725,0,0,dead,53.75,1433%
73,,B73,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,9,5,1,0,15,185.78,0.0879,112.5464706,0.05155,93.5725,0.051725,0.944207972,0.765013055,,53.75,1433%
85,,B73,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,10,5,1,0,0,188.51,0.119,112.5464706,0.05155,93.5725,0.051725,0.958082919,1.035683203,,53.75,1433%
59,,B73,14,rep1,Standards,MockInoc,control,na,BM2,7,4,1,0,5,208.01,0.0969,148.7713889,0.069019444,196.7575,0.1149,1.057189688,0.843342037,,3.75,100%
66,,B73,14,rep1,Standards,MockInoc,control,na,BM2,8,4,1,0,0,180.47,0.1515,148.7713889,0.069019444,196.7575,0.1149,0.917220436,1.318537859,,3.75,100%
127,,B73,14,rep1,Standards,MockInoc,control,na,BM2,15,8,1,0,5,201.31,0.1032,148.7713889,0.069019444,196.7575,0.1149,1.023137619,0.898172324,,3.75,100%
142,,B73,14,rep1,Standards,MockInoc,control,na,BM2,16,8,1,0,5,197.24,0.108,148.7713889,0.069019444,196.7575,0.1149,1.002452257,0.939947781,,3.75,100%
44,,CML103,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,5,3,0,0,100,0,0,126.6930556,0.078227778,162.7425,0.133375,0,0,dead,25,100%
47,,CML103,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,6,3,1,0,0,198.47,0.2052,126.6930556,0.078227778,162.7425,0.133375,1.335958535,1.657512116,,25,100%
115,,CML103,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,13,7,1,0,0,227.76,0.1592,126.6930556,0.078227778,162.7425,0.133375,1.533117932,1.285945073,,25,100%
122,,CML103,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,14,7,1,0,0,224.74,0.1691,126.6930556,0.078227778,162.7425,0.133375,1.512789445,1.365912763,,25,100%
23,,CML103,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,3,2,0,0,100,0,0,132.8997222,0.059366667,152.9925,0.098825,0,0,dead,27.5,110%
29,,CML103,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,4,2,1,0,0,211.18,0.1533,132.8997222,0.059366667,152.9925,0.098825,1.421513193,1.238287561,,27.5,110%
94,,CML103,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,11,6,1,0,5,191.26,0.127,132.8997222,0.059366667,152.9925,0.098825,1.287425956,1.025848142,,27.5,110%
102,,CML103,14,rep1,Gi,sandcornmeal,G.irregulare,na,BM2,12,6,1,0,5,209.53,0.115,132.8997222,0.059366667,152.9925,0.098825,1.41040657,0.928917609,,27.5,110%
2,,CML103,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,1,1,1,0,0,193.05,0.1449,112.5464706,0.05155,182.885,0.1042,1.29947496,1.170436187,,21.25,85%
13,,CML103,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,2,1,1,0,0,178.45,0.1075,112.5464706,0.05155,182.885,0.1042,1.201198169,0.868336026,,21.25,85%
80,,CML103,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,9,5,1,0,75,169.91,0.029,112.5464706,0.05155,182.885,0.1042,1.143712978,0.234248788,,21.25,85%
84,,CML103,14,rep1,Guu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,10,5,1,0,10,190.13,0.1354,112.5464706,0.05155,182.885,0.1042,1.279819602,1.093699515,,21.25,85%
56,,CML103,14,rep1,Standards,MockInoc,control,na,BM2,7,4,1,0,0,200.13,0.1759,148.7713889,0.069019444,148.56,0.1238,1.347132472,1.420840065,,25,100%
71,,CML103,14,rep1,Standards,MockInoc,control,na,BM2,8,4,1,0,0,199.25,0.1338,148.7713889,0.069019444,148.56,0.1238,1.341208939,1.080775444,,25,100%
132,,CML103,14,rep1,Standards,MockInoc,control,na,BM2,15,8,1,0,0,194.86,0.1855,148.7713889,0.069019444,148.56,0.1238,1.311658589,1.498384491,,25,100%
137,,CML103,14,rep1,Standards,MockInoc,control,na,BM2,16,8,0,0,100,0,0,148.7713889,0.069019444,148.56,0.1238,0,0,dead,25,100%
43,,CML277,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,5,3,0,0,100,0,0,126.6930556,0.078227778,0,0,#DIV/0!,#DIV/0!,dead,100,100%
48,,CML277,14,rep1,Ga,sandcornmeal,G.aphanidermatum,na,BM2,6,3,0,0,100,0,0,126.6930556,0.078227778,0,0,#DIV/0!,#DIV/0!,dead,100,100%
